OrderDate,SalesID,SalesName,InvoiceNo,CustomerName,Gender,CustomerID,CustomerType,ProductName,ProductCode,ProductCategory,CategoryCode,UnitPrice,Quantity,OrderValue,DiscountValue,SalesValue,SalesReturn,CreditedAmount,Commission,Year,Month,Day,NetSales,DueAmount
3/25/2026,SID019,Rafiul Karim,INV2603100001,Fashion Central,Male,CUS00483,Walk In,Body Spray,COS011,Cosmetics,CAT002,500,22,11000,1100,9900,198,0,297,2026,March,25,9702,0
8/28/2025,SID015,Mim Akter,INV2508100002,Beauty Express,Male,CUST002,Online,Belt,ACC003,Accessories,CAT003,800,25,20000,1000,19000,0,5700,570,2025,August,28,19000,5700
12/7/2026,SID015,Tasnia Rahman,INV2612100003,Classic Apparel,Female,CUST003,Walk In,Women's Nightwear,APP014,Fashion Apparel,CAT001,800,22,17600,1232,16368,818.4,4910.4,491.04,2026,December,7,15549.6,4910.4
8/6/2026,SID017,Nusrat Jahan,INV2608100004,Style Corner,Female,CUS00046,Walk In,Hand Sanitizer,HYG001,Hygiene Products,CAT004,250,20,5000,500,4500,90,900,135,2026,August,6,4410,900
10/25/2026,SID018,Tasnia Rahman,INV2610100005,Fresh Look,Female,CUS00469,Retail,Women's Top,APP006,Fashion Apparel,CAT001,1200,89,106800,7476,99324,4966.2,19864.8,2979.72,2026,October,25,94357.8,19864.8
11/18/2026,SID017,Jannatul Ferdous,INV2611100006,Classic Apparel,Female,CUST003,Walk In,Kids T-Shirt,APP007,Fashion Apparel,CAT001,650,92,59800,1794,58006,2900.3,17401.8,1740.18,2026,November,18,55105.7,17401.8
6/26/2025,SID010,Mahmudul Hasan,INV2506100007,Fashion Central,Male,CUS00061,Retail,Shampoo,COS005,Cosmetics,CAT002,700,47,32900,1645,31255,625.1,6251,937.65,2025,June,26,30629.9,6251
8/30/2025,SID006,Tanvir Islam,INV2508100008,Premium Beauty,Male,CUS00113,Walk In,Jacket,APP010,Fashion Apparel,CAT001,3800,87,330600,16530,314070,15703.5,0,9422.1,2025,August,30,298366.5,0
12/18/2025,SID004,Mehedi Hasan,INV2512100009,Elite Collection,Both,CUS00485,Distributor,Condom,COS036,Cosmetics,CAT002,300,27,8100,243,7857,392.85,2357.1,235.71,2025,December,18,7464.15,2357.1
2/14/2025,SID010,Mehedi Hasan,INV2502100010,Wonder Collection,Male,CUS00461,Distributor,Men Shirt,APP017,Fashion Apparel,CAT001,1600,13,20800,0,20800,1040,4160,624,2025,February,14,19760,4160
2/19/2026,SID011,Shuvo Das,INV2602100011,Smart Beauty,Male,CUS00193,Walk In,Hair Serum,COS006,Cosmetics,CAT002,1200,7,8400,840,7560,378,1512,226.8,2026,February,19,7182,1512
3/6/2025,SID003,Nayeem Hasan,INV2503100012,Fashion Central,Both,CUS00323,Walk In,Keychain,ACC015,Accessories,CAT003,300,71,21300,1491,19809,396.18,0,594.27,2025,March,6,19412.82,0
11/29/2026,SID012,Sharmin Akter,INV2611100013,Beauty World,Male,CUST010,Distributor,Hair Dryer,COS038,Cosmetics,CAT002,4000,14,56000,3920,52080,2604,0,1562.4,2026,November,29,49476,0
3/19/2025,SID006,Bonna Akter,INV2503100014,Fashion Hub Ltd,Male,CUS00260,Distributor,Perfume,COS003,Cosmetics,CAT002,2200,98,215600,15092,200508,4010.16,60152.4,6015.24,2025,March,19,196497.84,60152.4
1/15/2026,SID006,Bonna Akter,INV2601100015,Fashion Central,Male,CUS00320,Retail,Men's Innerwear,APP016,Fashion Apparel,CAT001,700,26,18200,546,17654,353.08,5296.2,529.62,2026,January,15,17300.92,5296.2
12/27/2025,SID010,Imran Hossain,INV2512100016,Urban Avenue,Female,CUS00099,Online,Body Butter,COS017,Cosmetics,CAT002,700,49,34300,2401,31899,637.98,6379.8,956.97,2025,December,27,31261.02,6379.8
12/4/2025,SID010,Tanjina Sultana,INV2512100017,Glamour House,Both,CUS00252,Corporate,Toothbrush,HYG006,Hygiene Products,CAT004,150,95,14250,0,14250,0,4275,427.5,2025,December,4,14250,4275
3/5/2026,SID019,Arif Hossain,INV2603100018,Blue Sky Fashion,Both,CUST014,Online,Hair Removal Cream,COS025,Cosmetics,CAT002,450,30,13500,1350,12150,243,0,364.5,2026,March,5,11907,0
9/23/2026,SID005,Nayeem Hasan,INV2609100019,Trendy Boutique,Male,CUS00266,Corporate,Hat,ACC007,Accessories,CAT003,700,17,11900,595,11305,565.25,3391.5,339.15,2026,September,23,10739.75,3391.5
8/21/2026,SID016,Abdullah Al Mamun,INV2608100020,Style World,Both,CUS00164,Retail,Handbag,ACC001,Accessories,CAT003,3500,14,49000,4900,44100,882,13230,1323,2026,August,21,43218,13230
11/9/2026,SID005,Siam Ahmed,INV2611100021,Smart Beauty,Both,CUS00257,Retail,Shampoo,COS005,Cosmetics,CAT002,700,97,67900,0,67900,3395,20370,2037,2026,November,9,64505,20370
5/14/2025,SID002,Shuvo Das,INV2505100022,Fashion Avenue,Female,CUS00381,Online,Body Spray,COS011,Cosmetics,CAT002,500,77,38500,0,38500,0,7700,1155,2025,May,14,38500,7700
1/8/2025,SID020,Tanjina Sultana,INV2501100023,Glow & Shine,Female,CUS00080,Walk In,Hair Mask,COS018,Cosmetics,CAT002,1100,89,97900,0,97900,0,0,2937,2025,January,8,97900,0
5/12/2025,SID018,Siam Ahmed,INV2505100024,Shine Collection,Both,CUS00152,Walk In,Face Wash,COS001,Cosmetics,CAT002,450,49,22050,2205,19845,0,5953.5,595.35,2025,May,12,19845,5953.5
8/23/2025,SID019,Rakib Hasan,INV2508100025,Global Apparel,Both,CUS00080,Walk In,Gloves,ACC008,Accessories,CAT003,600,21,12600,0,12600,0,3780,378,2025,August,23,12600,3780
10/16/2026,SID019,Abdullah Al Mamun,INV2610100026,Urban Avenue,Both,CUS00478,Corporate,Diapers,HYG012,Hygiene Products,CAT004,800,90,72000,7200,64800,1296,12960,1944,2026,October,16,63504,12960
5/26/2025,SID013,Samira Akter,INV2505100027,Elegant Choice,Both,CUS00100,Retail,Mouthwash,HYG007,Hygiene Products,CAT004,300,9,2700,0,2700,135,810,81,2025,May,26,2565,810
8/3/2026,SID020,Rafiul Karim,INV2608100028,Urban Trends,Both,CUS00039,Retail,Hand Sanitizer,HYG001,Hygiene Products,CAT004,250,81,20250,1012.5,19237.5,384.75,5771.25,577.12,2026,August,3,18852.75,5771.25
4/12/2025,SID003,Nusrat Jahan,INV2504100029,Fresh Look,Both,CUS00369,Online,Men T-Shirt,APP001,Fashion Apparel,CAT001,750,15,11250,562.5,10687.5,534.38,2137.5,320.62,2025,April,12,10153.12,2137.5
4/22/2025,SID009,Shuvo Das,INV2504100030,Unique Collection,Male,CUS00391,Corporate,Sunglasses,ACC004,Accessories,CAT003,1500,5,7500,750,6750,135,0,202.5,2025,April,22,6615,0
10/4/2025,SID007,Sharmin Akter,INV2510100031,Unique Collection,Female,CUS00215,Corporate,Feminine Wash,COS022,Cosmetics,CAT002,400,7,2800,196,2604,0,520.8,78.12,2025,October,4,2604,520.8
2/13/2026,SID013,Farzana Akter,INV2602100032,Elegant Choice,Male,CUS00229,Walk In,Sunglasses,ACC004,Accessories,CAT003,1500,60,90000,9000,81000,4050,24300,2430,2026,February,13,76950,24300
8/17/2025,SID013,Bonna Akter,INV2508100033,Cosmetics Plus,Both,CUS00468,Corporate,Hair Accessories,ACC010,Accessories,CAT003,400,99,39600,1980,37620,752.4,0,1128.6,2025,August,17,36867.6,0
9/5/2025,SID004,Tanjina Sultana,INV2509100034,Classic Beauty,Both,CUST025,Corporate,Men T-Shirt,APP001,Fashion Apparel,CAT001,750,50,37500,2625,34875,697.5,6975,1046.25,2025,September,5,34177.5,6975
5/9/2026,SID006,Samira Akter,INV2605100035,Elite Fashion,Both,CUS00148,Distributor,Diapers,HYG012,Hygiene Products,CAT004,800,8,6400,640,5760,0,1728,172.8,2026,May,9,5760,1728
1/11/2025,SID005,Imran Hossain,INV2501100036,Bloom Cosmetics,Female,CUST027,Distributor,Sanitary Napkins,HYG004,Hygiene Products,CAT004,350,38,13300,0,13300,266,2660,399,2025,January,11,13034,2660
